Vehicle_types;Periods;Totaal_kilometers_in_Nederland;Kilometers_in_Nederland;Kilometers_in_Nederland;Totaal kilometers_by_Dutch_vehicles;Kilometers_in_Nederland;Kilometers_in_outside_the_Nederland
Total motor vehicles;2015;129615.8;122988.4;6627.4;143026.0;122988.4;20037.6
Total motor vehicles;2016;133256.1;126275.7;6980.4;146589.1;126275.7;20313.3
Total motor vehicles;2017;135175.4;128017.1;7158.4;148524.6;128017.1;20507.5
Total motor vehicles;2018;137166.7;129973.9;7192.8;150755.2;129973.9;20781.2
Total motor vehicles;2019;137648.7;130261.7;7387.1;151915.9;130261.7;21654.3
Total motor vehicles;2020;119140.7;114022.9;5117.8;128964.9;114022.9;14942.0
Passenger car;2015;105088.9;99968.7;5120.3;115913.1;99968.7;15944.4
Passenger car;2016;107708.1;102394.2;5313.9;118725.4;102394.2;16331.2
Passenger car;2017;108936.1;103515.6;5420.5;120025.7;103515.6;16510.1
Passenger car;2018;110355.9;104898.3;5457.6;121628.9;104898.3;16730.6
Passenger car;2019;110372.8;104779.1;5593.7;122505.5;104779.1;17726.4
Passenger car;2020;92654.2;89305.9;3348.3;100600.1;89305.9;11294.2
delivery van;2015;16544.3;15882.5;661.8;16544.3;15882.5;661.8
delivery van;2016;17144.3;16407.1;737.2;17144.3;16407.1;737.2
delivery van;2017;17668.4;16908.7;759.7;17668.4;16908.7;759.7
delivery van;2018;18217.0;17470.1;746.9;18217.0;17470.1;746.9
delivery van;2019;18683.4;17898.7;784.7;18683.4;17898.7;784.7
delivery van;2020;18107.8;17365.4;742.4;18107.8;17365.4;742.4
Truck (excl. tractor for trailer);2015;2175.6;2037.0;138.6;2595.0;2037.0;558.0
Truck (excl. tractor for trailer);2016;2224.1;2075.3;148.9;2587.7;2075.3;512.4
Truck (excl. tractor for trailer);2017;2251.0;2113.2;137.8;2562.1;2113.2;449.0
Truck (excl. tractor for trailer);2018;2204.9;2058.8;146.1;2542.5;2058.8;483.6
Truck (excl. tractor for trailer);2019;2161.7;2009.4;152.3;2479.1;2009.4;469.7
Truck (excl. tractor for trailer);2020;2071.9;1909.5;162.4;2364.6;1909.5;455.1
Tractor for semi-trailer;2015;4747.8;4129.8;618.1;6618.4;4129.8;2488.6
Tractor for semi-trailer;2016;5106.8;4423.9;682.9;6774.9;4423.9;2351.0
Tractor for semi-trailer;2017;5199.9;4455.3;744.6;6880.8;4455.3;2425.5
Tractor for semi-trailer;2018;5264.7;4522.9;741.8;6979.1;4522.9;2456.2
Tractor for semi-trailer;2019;5341.7;4587.3;754.3;6913.1;4587.3;2325.7
Tractor for semi-trailer;2020;5364.8;4581.2;783.6;6777.4;4581.2;2196.2
Special vehicle;2015;436.3;369.0;67.2;684.9;369.0;315.8
Special vehicle;2016;461.5;384.5;77.0;700.0;384.5;315.5
Special vehicle;2017;465.5;389.8;75.7;691.9;389.8;302.1
Special vehicle;2018;459.4;378.3;81.1;681.4;378.3;303.1
Special vehicle;2019;450.5;368.3;82.2;650.6;368.3;282.3
Special vehicle;2020;434.2;363.8;70.4;591.8;363.8;228.0
Bus;2015;622.9;601.3;21.6;670.3;601.3;69.0
Bus;2016;611.3;.;.;656.7;.;.
Bus;2017;654.5;.;.;695.6;.;.
Bus;2018;664.8;.;.;706.4;.;.
Bus;2019;638.7;.;.;684.4;.;.
Bus;2020;507.7;.;.;523.2;.;.